device_model,release_date
DUA-L22,2018-09-04
RMX3263,
CLT-L29,2018-04-24
F8331,2016-09-29
NAM-LX9,2021-10-01
SM-A510F,2016-01-08
RMX3085,
SM-A305F,2019-03-01
Infinix X690B,
vivo 1718,
22021211RG,2022-06-01
Redmi 5,2017-12-12
V2111,2021-09-04
SM-A325F,2021-03-01
RMX2151,2020-10-12
Infinix X698,
YAL-L21,2020-03-04
RMX3201,2021-03-01
RMX2075,2020-04-01
vivo 1723,
vivo 1808,
SM-J400F,2018-05-23
Redmi Note 9S,2020-04-07
SM-A125F,2021-01-01
Infinix X663,
CPH1801,
Mi Note 10 Pro,2021-04-01
Nokia 6.1 Plus,
Pixel 6,2022-07-28
iPhone 8,2019-09-12
RMX2061,2020-05-01
SM-M526BR,2021-10-02
SM-G935F,2016-12-27
Infinix X657C,
SM-A236E,2022-09-01
CPH1989,2019-09-01
ASUS_I01WD,
SM-F700F,2020-02-14
V2130,2022-02-01
RMX3151,2021-10-13
RMX3261,2021-07-04
Infinix X682B,
SM-M236B,2022-04-08
SM-N970F,2019-08-23
CPH2015,2020-02-01
SM-J610F,2018-10-01
CPH2235,2021-08-01
SM-A730F,2018-01-06
SM-A715F,2020-02-01
M2102J20SG,2021-03-29
RMX2001,2020-03-01
CPH2421,2022-04-01
A37f,
RMX3472,2022-04-01
21051182G,2021-08-24
"iPad12,1",2021-0924
iPhone X,2018-10-26
iPhone 11 Pro,2019-09-21
vivo 2019,
CPH1901,2018-11-22
Redmi Note 9 Pro,2020-03-01
SM-A105G,2019-03-01
SM-P615,2020-04-01
Infinix X6812B,
V2120,
Infinix X697,
SM-F916B,2020-10-01
vivo 1814,
SM-G998N,2021-01-29
MI 6,2018-10-02
Mi 9 SE,2019-04-18
SOV38,2018-08-01
vivo 1601,
"iPhone14,5",2022-09-16
V2026,2020-12-01
"iPhone14,2",2022-09-07
Infinix X680,
vivo 1907,
RMX1851,2019-05-01
SM-A025F,2020-12-01
SM-A225F,2021-07-01
SM-J111F,2016-08-01
SM-J260G,2020-04-27
SM-J610G,2018-10-06
Infinix X665B,
6201,2019-11-28
MI 6X,2018-05-01
OPPO A59s,
iPhone 6s,2015-11-01
M2006C3MG,2020-08-07
SM-A115F,2020-07-01
A1601,2014-10-01
SM-A022F,2021-02-01
SM-G988B,2020-03-06
ELE-L29,2019-04-02
V2157,2021-12-28
RMX1807,2018-10-11
SM-F721B,2022-12-02
SM-T225,2021-07-01
SM-A530F,2018-01-09
V2027,2020-11-01
Infinix X689B,
CPH2035,2020-03-06
Infinix X693,
SM-M625F,2021-02-27
SM-T295,2019-08-01
RMX3301,2022-03-01
RMX1925,2019-12-12
MI 9,2021-09-24
vivo 1940,
SM-A135F,2022-03-24
iPhone 12 mini,2020-10-23
Redmi Note 8 Pro,2019-11-01
RMX1903,2019-07-16
moto x4,2018-02-02
SM-A013G,2020-07-01
V2118,
SOV41,2019-10-26
iPhone XR,2018-10-26
SM-A750GN,2018-10-24
SM-G955F,2017-06-09
SM-G950F,2017-05-02
SM-M305M,2019-03-01
Nokia G20,
iPhone 7 Plus,2016-09-23
RMX2185,2020-07-22
CPH1909,2019-05-01
SM-M215F,2020-05-13
"iPad13,1",2020-10-23
M2007J20CG,2020-09-01
CPH2209,
M2101K7BNY,2021-04-27
vivo 1818,
SM-J530Y,2017-07-01
CPH1609,
Infinix X692,
CPH2061,2020-04-01
SM-M536B,2022-04-01
SM-A226B,2021-07-01
Redmi 7,2019-07-11
220333QAG,2022-03-01
Redmi 6,2018-10-02
CPH2371,2022-03-01
V2031,2020-10-01
Mi Note 10,2021-04-27
SM-N770F,2020-02-03
ASUS_X01AD,
SM-A520F,2017-01-13
V2142,2022-05-02
Infinix X655C,
CPH2025,2020-04-01
JEF-NX9,2020-07-07
SOV39,2018-11-09
Redmi 4X,2017-03-01
SM-G955U,2017-04-01
SHARK KLE-H0,
CPH1717,2017-09-06
iPhone 7,2016-09-23
RMX2101,2020-09-22
V2039,
V2043,
CPH1937,2019-10-01
"iPhone14,4",2022-09-16
vivo 1919,
RMX1921,2019-10-01
SM-A207F,2019-09-23
vivo 1806,
CPH2001,2020-01-24
ALP-L29,2017-11-01
RMX2180,
RMX2163,2020-10-12
CPH2043,2020-03-01
MI MAX,2018-08-01
ASUS_X00LD,
MI NOTE LTE,2014-11-11
iPhone 12 Pro,2020-10-23
Redmi Note 4,2017-03-02
M2103K19G,2021-04-01
SM-A528B,2021-09-03
Redmi 8A Pro,2020-02-18
Infinix X573,
CPH2305,2022-03-01
SM-G900H,2014-04-02
SM-M336B,2022-04-02
Mi MIX 3,2019-05-02
SM-C710F,2017-10-01
TECNO KE5k,
SM-N986U,2020-08-01
Redmi 4,2017-03-01
V2040,
RMX2193,2020-09-28
RMX3430,2021-09-24
SM-A205F,2019-03-19
ASUS_I003DD,
SM-G780F,2020-10-01
Infinix X6511B,
Redmi Note 5A Prime,2017-08-01
SM-G9980,2021-01-29
SM-N970U,2019-09-01
SOV36,2017-11-01
ELS-NX9,2020-04-01
Lenovo L38012,
SM-G990E,2022-01-11
M2006C3LG,2020-07-07
SM-A326B,2021-02-19
Redmi Note 4X,2017-03-02
SM-J730F,2017-07-01
CPH1825,2018-08-29
Nokia 5.4,
Infinix X652B,
SM-N950U,2017-09-16
ZenFone Max Pro M1,2018-07-01
SM-G780G,2020-10-02
V2109,2021-10-12
Infinix X695C,
GM1910,2019-05-16
Infinix X688C,
vivo 1807,
RMX3195,2021-06-01
SO-03L,2019-06-14
SM-F707B,2020-08-09
RMX1821,2019-05-08
M2103K19PG,2021-05-01
SM-G965F,2018-05-02
SM-A805F,2019-05-29
ASUS_X00QD,
SM-G955N,2017-04-19
ASUS_X00ID,
SM-N9600,2018-08-31
Mi A1,2017-09-12
Infinix X688B,
CPH2113,2020-08-01
vivo 1918,
SM-N950F,2017-09-16
2201117TY,2022-02-09
CPH2145,2021-01-16
RMX3235,
vivo 1812,
CPH1969,2019-03-14
CPH1933,2019-09-22
21081111RG,2021-10-06
SM-G935L,2016-03-03
ASUS_Z00UD,
M2011K2G,2021-04-01
RMX3268,2021-11-12
SM-C900F,2017-02-24
TA-1021,
DLT-H0,2019-09-01
ASUS_I001DE,
SM-J510FN,2016-05-01
SM-T835,2018-09-01
CPH1723,2017-12-27
ONEPLUS A5010,
SM-T719Y,2016-06-01
SH-Z01,
SM-A505F,2019-03-18
V2050,
SM-N986B,2020-08-21
6501,
CPH2461,2022-08-01
SM-G970F,2019-03-08
RMX2189,2020-08-18
CPH2239,
Redmi Note 6 Pro,2019-02-01
SM-A605G,2018-06-01
SCV41,2019-05-23
21121119SG,2022-02-01
Infinix X663B,
RMX3241,2021-04-27
SM-F926B,2021-08-27
SM-G930P,2016-03-12
HTC U11,2017-06-09
iPad Pro (10.5-inch),2017-06-01
vivo 1902,
iPhone 8 Plus,2019-09-12
SM-A600G,2018-06-01
SM-G991B,2021-01-29
SM-G925F,2015-04-01
RMX3231,2021-06-29
ONEPLUS A6000,
LYA-L29,2018-12-01
SM-J250F,2018-01-09
vivo 1938,
vivo 1811,
SM-T736B,2021-06-14
Redmi 8,2020-02-18
CPH1931,2019-10-01
CPH1819,2018-04-22
CPH1605,2016-10-29
RMX1911,2019-11-21
SM-P205,2019-03-31
SHV41,2017-12-22
SM-F900F,2019-09-06
vivo 1939,
"iPad11,3",2018-11-07
2203129G,2022-07-13
"iPad8,9",2020-09-18
HD1910,2019-10-01
LG-M250,
Redmi Go,2019-03-22
iPhone XS Max,2018-09-21
M2101K9AG,2021-04-01
CPH2179,2020-12-01
CPH2159,
SM-G885F,2018-08-27
CPH2197,2021-04-22
V2105,2021-09-24
SO-01J,2016-11-01
SM-J415F,2018-09-24
vivo 1611,
Redmi 3,2016-10-02
Mi MIX 2,2018-05-08
vivo 1724,
SM-M305F,2019-03-06
SM-A015F,2020-02-01
SM-G998B,2021-01-29
SM-S908E,2022-02-26
CPH2375,2022-03-01
RMX1811,2019-02-06
SM-G9750,2019-03-01
CPH2387,2022-06-01
CPH1821,2018-04-22
SM-N980F,2020-08-21
SM-A705FN,2019-04-26
CPH1613,2017-11-16
CPH1919,2019-05-01
CPH1917,2019-05-01
Infinix X689D,
SO-01L,2018-11-01
CPH1823,2018-08-29
SM-A515F,2020-01-01
Moto E (4) Plus,
RMX3511,2022-03-01
"iPad13,4",2020-09-16
CPH1701,2017-02-03
Redmi Note 5,2018-05-09
CPH1803,2018-07-01
SM-A725F,2021-05-01
21061119AG,2021-08-01
SM-G975F,2019-03-08
vivo 1904,
V2045,2021-11-01
SM-A032F,2021-12-01
Infinix X689,
SM-M022F,
Mi Note 3,2016-02-01
SM-A710F,2016-01-09
SM-G9287C,2015-09-01
SM-G988U1,2020-03-01
CPH1729,
M2012K11AG,2021-04-29
SM-M127F,2021-02-26
CPH2059,
vivo 1920,
SM-N935F,2017-07-07
V2030,
MI 8,2020-02-18
ASUS_Z010D,
Lenovo L38011,
Infinix X6511,
